entity:theiaprok_illumina_pe_v4-2-0_id	assembler	sequencing_platform	gambit_predicted_taxon	assembly_length	n50_value	number_contigs	combined_mean_q_clean	est_coverage_clean	fastq_scan_num_reads_clean_pairs	qc_status	screening_notes	notes	raw_read_count	quast_report
19050801924	skesa	Illumina NovaSeq	Escherichia coli	4817852	84485	138	35.89	78.07	833786	PASS	no contamination detected	real sample, passes every check	950000	gs://fc-269f7149-ddc6-4701-b8ec-62407df9a044/submissions/a0892671-590d-4b11-bb87-2bbc24af2a5a/theiaprok_illumina_pe/2325be3f-ba90-4523-b3c7-7632fcb91647/call-quast/19050801924_report.tsv
461023	skesa	Illumina NovaSeq	Escherichia coli	5211691	233277	134	35.8	NA	1092456	PASS	no contamination detected	"est_coverage_clean is non-numeric (""NA"")"	1250000	gs://fc-269f7149-ddc6-4701-b8ec-62407df9a044/submissions/a0892671-590d-4b11-bb87-2bbc24af2a5a/theiaprok_illumina_pe/202063d7-1738-4055-9928-2d603d1c3493/call-quast/461023_report.tsv
SRR16579222_Ecoli_stxPos2completeOperons	skesa	Illumina NovaSeq	Escherichia coli	5354960	158307	159	35.52	62.19	661730	PASS	no contamination detected	passes every check; omitted from samples.txt on purpose	760000	gs://fc-269f7149-ddc6-4701-b8ec-62407df9a044/submissions/a0892671-590d-4b11-bb87-2bbc24af2a5a/theiaprok_illumina_pe/f34969be-3720-4ad9-9cd2-1137c3bcb49d/call-quast/SRR16579222_Ecoli_stxPos2completeOperons_report.tsv
03-98DDCS	skesa	Illumina NovaSeq	Escherichia coli	5153956	73591	239	36.25	34.18		PASS	no contamination detected	fastq_scan_num_reads_clean_pairs is genuinely blank (missing value)	610000	gs://fc-269f7149-ddc6-4701-b8ec-62407df9a044/submissions/a0892671-590d-4b11-bb87-2bbc24af2a5a/theiaprok_illumina_pe/8b66f1a3-59a4-4590-8007-597b5e60c428/call-quast/03-98DDCS_report.tsv
CL2021-00283104	skesa	Illumina NovaSeq	Escherichia coli	4708044	10000	853	36	20.98	659155	PASS	no contamination detected	fragmented assembly: fails n50, contig_count, AND coverage simultaneously	720000	gs://fc-269f7149-ddc6-4701-b8ec-62407df9a044/submissions/a0892671-590d-4b11-bb87-2bbc24af2a5a/theiaprok_illumina_pe/245a05e8-0673-495c-a588-2a7deb7e696e/call-quast/CL2021-00283104_report.tsv
155734	skesa	Illumina NovaSeq	Klebsiella pneumoniae	5642659	127824	110	35.88	417.06	11736220	PASS	no contamination detected	passes every check	12500000	gs://fc-269f7149-ddc6-4701-b8ec-62407df9a044/submissions/a0892671-590d-4b11-bb87-2bbc24af2a5a/theiaprok_illumina_pe/2542e253-989d-4d3e-98c8-8c771668c0e4/call-quast/155734_report.tsv
480757	skesa	Illumina NovaSeq	Escherichia coli	5043992	203874	158	35.82	28.62	486303	PASS	no contamination detected	fails only est_coverage_clean (28.62 < 30)	530000	gs://fc-269f7149-ddc6-4701-b8ec-62407df9a044/submissions/a0892671-590d-4b11-bb87-2bbc24af2a5a/theiaprok_illumina_pe/7117101f-b637-4f3f-a29d-0a8fb68ee57e/call-quast/480757_report.tsv
SAMN24249320	skesa	Illumina NovaSeq	Pseudomonas aeruginosa	6953034	177799	172	   	71.7	1146148	PASS	no contamination detected	combined_mean_q_clean is whitespace-only, not empty	1250000	gs://fc-269f7149-ddc6-4701-b8ec-62407df9a044/submissions/a0892671-590d-4b11-bb87-2bbc24af2a5a/theiaprok_illumina_pe/470755d1-dd1c-4775-a03a-a6444f524ed3/call-quast/SAMN24249320_report.tsv
369711	skesa	Illumina NovaSeq	Salmonella enterica	4653361	217441	37	35.88	400.74	9292822	PASS	no contamination detected	no conditional qc rule matches Salmonella enterica (no default)	10100000	gs://fc-269f7149-ddc6-4701-b8ec-62407df9a044/submissions/a0892671-590d-4b11-bb87-2bbc24af2a5a/theiaprok_illumina_pe/762c7348-31e3-4a87-880f-196452b1b347/call-quast/369711_report.tsv
NTC1	skesa	Illumina NovaSeq	Escherichia coli	4800000	90000	120	36.0	50.0	500000	PASS		negative control: no organism flagged, raw read count gated by set_qc	800	examples/files/NTC1_quast_report.tsv
PC1	skesa	Illumina NovaSeq	Escherichia coli	4900000	95000	115	36.0	55.0	550000	pass	ESCHERICHIA COLI ATCC 25922 confirmed	positive control: organism confirmed via case-insensitive contains	520000	examples/files/PC1_quast_report.tsv
