sample	column	output_column	operator	expected	actual	reason
NTC1	raw_read_count	raw_read_count	<=	1000	5000	5000.0 <= 1000 is False
19050801924						run failed QC due to set_qc rule(s): ['NTC has no organism flagged and low raw read count']
461023						run failed QC due to set_qc rule(s): ['NTC has no organism flagged and low raw read count']
03-98DDCS						run failed QC due to set_qc rule(s): ['NTC has no organism flagged and low raw read count']
CL2021-00283104						run failed QC due to set_qc rule(s): ['NTC has no organism flagged and low raw read count']
155734						run failed QC due to set_qc rule(s): ['NTC has no organism flagged and low raw read count']
480757						run failed QC due to set_qc rule(s): ['NTC has no organism flagged and low raw read count']
SAMN24249320						run failed QC due to set_qc rule(s): ['NTC has no organism flagged and low raw read count']
369711						run failed QC due to set_qc rule(s): ['NTC has no organism flagged and low raw read count']
PC1						run failed QC due to set_qc rule(s): ['NTC has no organism flagged and low raw read count']
