sample	column	output_column	operator	expected	actual	reason
SAMPLE_002	read_count	total_reads	>=	1000	500	500.0 >= 1000 is False
SAMPLE_003	read_count	total_reads	<=	1000000	2000000	2000000.0 <= 1000000 is False
SAMPLE_004	quality_score	qc_score	>	30	20	20.0 > 30 is False
SAMPLE_005	error_rate	error_rate	<	0.05	0.10	0.1 < 0.05 is False
SAMPLE_006	status	status	=	PASS	FAIL	value 'FAIL' != 'PASS'
SAMPLE_007	length	length	~=	1000000	1200000	1200000.0 is not within 5% of 1,000,000 (allowed range 950,000 to 1,050,000)
SAMPLE_008	read_count	total_reads	>=	1000	NA	non-numeric value 'NA' cannot be compared with >= 1000
SAMPLE_009	quality_score	qc_score	>	30		missing value
SAMPLE_011	read_count	total_reads	>=	1000	500	500.0 >= 1000 is False
SAMPLE_011	status	status	=	PASS	FAIL	value 'FAIL' != 'PASS'
SAMPLE_012	quality_score	qc_score	>	30	20	20.0 > 30 is False
SAMPLE_012	error_rate	error_rate	<	0.05	0.10	0.1 < 0.05 is False
SAMPLE_012	length	length	~=	1000000	1200000	1200000.0 is not within 5% of 1,000,000 (allowed range 950,000 to 1,050,000)
SAMPLE_013	quality_score	qc_score	>	30	   	missing value
SAMPLE_014	status	status	=	PASS		missing value
SAMPLE_014	length	length	~=	1000000		missing value
